G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 18 2022,10:00p,,Box Score,,Los Angeles Lakers,W,,123,109,1,0,W 1,
2,Fri Oct 21 2022,10:00p,,Box Score,,Denver Nuggets,L,,123,128,1,1,L 1,
3,Sun Oct 23 2022,8:30p,,Box Score,,Sacramento Kings,W,,130,125,2,1,W 1,
4,Tue Oct 25 2022,10:00p,,Box Score,@,Phoenix Suns,L,,105,134,2,2,L 1,
5,Thu Oct 27 2022,10:00p,,Box Score,,Miami Heat,W,,123,110,3,2,W 1,
6,Sat Oct 29 2022,7:00p,,Box Score,@,Charlotte Hornets,L,OT,113,120,3,3,L 1,
7,Sun Oct 30 2022,6:00p,,Box Score,@,Detroit Pistons,L,,114,128,3,4,L 2,
8,Tue Nov 1 2022,7:30p,,Box Score,@,Miami Heat,L,,109,116,3,5,L 3,
9,Thu Nov 3 2022,7:00p,,Box Score,@,Orlando Magic,L,,129,130,3,6,L 4,
10,Fri Nov 4 2022,8:30p,,Box Score,@,New Orleans Pelicans,L,,105,114,3,7,L 5,
11,Mon Nov 7 2022,10:00p,,Box Score,,Sacramento Kings,W,,116,113,4,7,W 1,
12,Fri Nov 11 2022,10:00p,,Box Score,,Cleveland Cavaliers,W,,106,101,5,7,W 2,
13,Sun Nov 13 2022,9:00p,,Box Score,@,Sacramento Kings,L,,115,122,5,8,L 1,
14,Mon Nov 14 2022,10:00p,,Box Score,,San Antonio Spurs,W,,132,95,6,8,W 1,
15,Wed Nov 16 2022,10:00p,,Box Score,@,Phoenix Suns,L,,119,130,6,9,L 1,
16,Fri Nov 18 2022,10:00p,,Box Score,,New York Knicks,W,,111,101,7,9,W 1,
17,Sun Nov 20 2022,7:00p,,Box Score,@,Houston Rockets,W,,127,120,8,9,W 2,
18,Mon Nov 21 2022,8:00p,,Box Score,@,New Orleans Pelicans,L,,83,128,8,10,L 1,
19,Wed Nov 23 2022,10:00p,,Box Score,,Los Angeles Clippers,W,,124,107,9,10,W 1,
20,Fri Nov 25 2022,10:00p,,Box Score,,Utah Jazz,W,,129,118,10,10,W 2,
21,Sun Nov 27 2022,3:30p,,Box Score,@,Minnesota Timberwolves,W,,137,114,11,10,W 3,
22,Tue Nov 29 2022,7:30p,,Box Score,@,Dallas Mavericks,L,,113,116,11,11,L 1,
23,Fri Dec 2 2022,10:00p,,Box Score,,Chicago Bulls,W,,119,111,12,11,W 1,
24,Sat Dec 3 2022,8:30p,,Box Score,,Houston Rockets,W,,120,101,13,11,W 2,
25,Mon Dec 5 2022,10:00p,,Box Score,,Indiana Pacers,L,,104,112,13,12,L 1,
26,Wed Dec 7 2022,9:00p,,Box Score,@,Utah Jazz,L,,123,124,13,13,L 2,
27,Sat Dec 10 2022,8:30p,,Box Score,,Boston Celtics,W,,123,107,14,13,W 1,
28,Tue Dec 13 2022,7:30p,,Box Score,@,Milwaukee Bucks,L,,111,128,14,14,L 1,
29,Wed Dec 14 2022,7:00p,,Box Score,@,Indiana Pacers,L,,119,125,14,15,L 2,
30,Fri Dec 16 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,106,118,14,16,L 3,
31,Sun Dec 18 2022,6:00p,,Box Score,@,Toronto Raptors,W,,126,110,15,16,W 1,
32,Tue Dec 20 2022,7:30p,,Box Score,@,New York Knicks,L,,94,132,15,17,L 1,
33,Wed Dec 21 2022,7:30p,,Box Score,@,Brooklyn Nets,L,,113,143,15,18,L 2,
34,Sun Dec 25 2022,8:00p,,Box Score,,Memphis Grizzlies,W,,123,109,16,18,W 1,
35,Tue Dec 27 2022,10:00p,,Box Score,,Charlotte Hornets,W,,110,105,17,18,W 2,
36,Wed Dec 28 2022,10:00p,,Box Score,,Utah Jazz,W,,112,107,18,18,W 3,
37,Fri Dec 30 2022,10:00p,,Box Score,,Portland Trail Blazers,W,,118,112,19,18,W 4,
38,Mon Jan 2 2023,10:00p,,Box Score,,Atlanta Hawks,W,2OT,143,141,20,18,W 5,
39,Wed Jan 4 2023,10:00p,,Box Score,,Detroit Pistons,L,,119,122,20,19,L 1,
40,Sat Jan 7 2023,8:30p,,Box Score,,Orlando Magic,L,,101,115,20,20,L 2,
41,Tue Jan 10 2023,10:00p,,Box Score,,Phoenix Suns,L,,113,125,20,21,L 3,
42,Fri Jan 13 2023,7:30p,,Box Score,@,San Antonio Spurs,W,,144,113,21,21,W 1,
43,Sun Jan 15 2023,3:30p,,Box Score,@,Chicago Bulls,L,,118,132,21,22,L 1,
44,Mon Jan 16 2023,3:00p,,Box Score,@,Washington Wizards,W,,127,118,22,22,W 1,
45,Thu Jan 19 2023,7:30p,,Box Score,@,Boston Celtics,L,OT,118,121,22,23,L 1,
46,Fri Jan 20 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,120,114,23,23,W 1,
47,Sun Jan 22 2023,8:30p,,Box Score,,Brooklyn Nets,L,,116,120,23,24,L 1,
48,Wed Jan 25 2023,10:00p,,Box Score,,Memphis Grizzlies,W,,122,120,24,24,W 1,
49,Fri Jan 27 2023,10:00p,,Box Score,,Toronto Raptors,W,,129,117,25,24,W 2,
50,Mon Jan 30 2023,8:00p,,Box Score,@,Oklahoma City Thunder,W,,128,120,26,24,W 3,
51,Wed Feb 1 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,114,119,26,25,L 1,
52,Thu Feb 2 2023,9:00p,,Box Score,@,Denver Nuggets,L,,117,134,26,26,L 2,
53,Sat Feb 4 2023,8:30p,,Box Score,,Dallas Mavericks,W,,119,113,27,26,W 1,
54,Mon Feb 6 2023,10:00p,,Box Score,,Oklahoma City Thunder,W,,141,114,28,26,W 2,
55,Wed Feb 8 2023,10:00p,,Box Score,@,Portland Trail Blazers,L,,122,125,28,27,L 1,
56,Sat Feb 11 2023,8:30p,,Box Score,,Los Angeles Lakers,L,,103,109,28,28,L 2,
57,Mon Feb 13 2023,10:00p,,Box Score,,Washington Wizards,W,,135,126,29,28,W 1,
58,Tue Feb 14 2023,10:00p,,Box Score,@,Los Angeles Clippers,L,,124,134,29,29,L 1,
59,Thu Feb 23 2023,10:00p,,Box Score,@,Los Angeles Lakers,L,,111,124,29,30,L 2,
60,Fri Feb 24 2023,10:00p,,Box Score,,Houston Rockets,W,,116,101,30,30,W 1,
61,Sun Feb 26 2023,7:30p,,Box Score,,Minnesota Timberwolves,W,,109,104,31,30,W 2,
62,Tue Feb 28 2023,10:00p,,Box Score,,Portland Trail Blazers,W,,123,105,32,30,W 3,
63,Thu Mar 2 2023,10:00p,,Box Score,,Los Angeles Clippers,W,,115,91,33,30,W 4,
64,Fri Mar 3 2023,10:00p,,Box Score,,New Orleans Pelicans,W,,108,99,34,30,W 5,
65,Sun Mar 5 2023,3:30p,,Box Score,@,Los Angeles Lakers,L,,105,113,34,31,L 1,
66,Tue Mar 7 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,128,137,34,32,L 2,
67,Thu Mar 9 2023,7:30p,,Box Score,@,Memphis Grizzlies,L,,110,131,34,33,L 3,
68,Sat Mar 11 2023,8:30p,,Box Score,,Milwaukee Bucks,W,OT,125,116,35,33,W 1,
69,Mon Mar 13 2023,10:00p,,Box Score,,Phoenix Suns,W,,123,112,36,33,W 2,
70,Wed Mar 15 2023,10:00p,,Box Score,@,Los Angeles Clippers,L,,126,134,36,34,L 1,
71,Fri Mar 17 2023,7:30p,,Box Score,@,Atlanta Hawks,L,,119,127,36,35,L 2,
72,Sat Mar 18 2023,8:00p,,Box Score,@,Memphis Grizzlies,L,,119,133,36,36,L 3,
73,Mon Mar 20 2023,8:00p,,Box Score,@,Houston Rockets,W,,121,108,37,36,W 1,
74,Wed Mar 22 2023,7:30p,,Box Score,@,Dallas Mavericks,W,,127,125,38,36,W 2,
75,Fri Mar 24 2023,10:00p,,Box Score,,Philadelphia 76ers,W,,120,112,39,36,W 3,
76,Sun Mar 26 2023,8:30p,,Box Score,,Minnesota Timberwolves,L,,96,99,39,37,L 1,
77,Tue Mar 28 2023,10:00p,,Box Score,,New Orleans Pelicans,W,,120,109,40,37,W 1,